File;Time;Language;Order;Trial;Part;Words;Metaphor;Gesture;Dimension;Handshape;N Hands;Comment;Speech;Grammar;General comments
bi1_1s_PC.eaf;00:22:53.700;;;15;2;;;;;;;;och där droppar, nästa ton är . droppar ganska långt ner;;
bi1_1s_PC.eaf;00:22:56.710;;;15;2;droppar;Height;1;vert;point;1;gesture starts before;och där droppar, nästa ton är . droppar ganska långt ner;;
bi1_2t_AG_PC.eaf;00:00:20.047;;;1;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:00:20.047;;;1;1;;Height;;;;;;Erkek korosunun sesi gib geldi, ortadan giriyorlar, hani fazla alcak degil, ortadan giriyorlar;;
bi1_2t_AG_PC.eaf;00:00:22.302;;;1;1;;Height;;;;;;Erkek korosunun sesi gib geldi, ortadan giriyorlar, hani fazla alcak degil, ortadan giriyorlar;ortadan = middle+ablativ suffix;
bi1_2t_AG_PC.eaf;00:00:24.367;;;1;1;alcak;Height;1;vert;flat H;1;;Erkek korosunun sesi gib geldi, ortadan giriyorlar, hani fazla alcak degil, ortadan giriyorlar;low;
bi1_2t_AG_PC.eaf;00:00:40.733;;;1;2;;Height;;;;;;Bir kac basamak ustte kadin korosu giriyor;;
bi1_2t_AG_PC.eaf;00:00:41.507;;;1;2;ustte;Height;1;vert;flat H;2;;Bir kac basamak ustte kadin korosu giriyor;ustte = above + locative suffix;
bi1_2t_AG_PC.eaf;00:01:19.240;;;2;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:01:19.240;;;2;1;;Height;;;;;;Tiz, ilk ses tiz. Cok yuksek.;;
bi1_2t_AG_PC.eaf;00:01:22.945;;;2;1;yuksek;Height;1;vert;point;1;;Tiz, ilk ses tiz. Cok yuksek.;;
bi1_2t_AG_PC.eaf;00:01:30.053;;;2;2;;Height;;;;;;Ondan sonra baya bir buyuk bir dusus.;;
bi1_2t_AG_PC.eaf;00:01:31.567;;;2;2;dusus;Height;1;vert;point;1;;Ondan sonra baya bir buyuk bir dusus.;dusus = a fall;
bi1_2t_AG_PC.eaf;00:01:56.300;;;;;;;;;;;Nothing in trial 3;;;
bi1_2t_AG_PC.eaf;00:02:55.645;;;4;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:02:55.645;;;4;1;;none;;;;;;Kadin korosu, ortalarda;;
